"","AKT","AMP_ATP","AMPK","APAF1","AR","ATM","ATR","AXIN1","BAD","BAX","Bcl_XL","BCL2","beta_catenin","BMP2","BIRC5","BRCA1","BRCA2","Caspase3","Caspase8","Caspase9","CDH2","cFLAR","CHK1_2","CyclinB","CyclinD","CytoC","DAXX","Dsh","E_cadherin","E2F1","eEF2","EGF","EGFR","EP300","ERG","ERK","ETS1","ETV1","EZH2","FADD","FGF","FGFR3","FOS","FOXA1","FOXO","FRS2","fused_event","GADD45","GLI","GLUT1","GSH","GSK3","HIF1","HSPs","IDH1","IKK","JNK","JUN","Lactic_acid","LDHA","MAP3K1_3","MDM2","MED12","MEK1_2","ZBTB17","mTORC1","mTORC2","MXI1","MYC","MYC_MAX","NCOA3","NCOR1","NCOR2","NF_kB","NF1","NKX3_1","p14ARF","p15","p21","p38","p53","p70S6kab","p90RSK","PDK1","PHDs","PI3K","PIP3","PKC","PTCH1","PTEN","RAF","RAGS","RAS","RB1","Rheb","ROS","RTK","RUNX2","SHH","Slug","SMAD","SMO","Snail","SPOP","TAK1","TCF","TERT","TGFb","TGFBR","TNFalpha","TSC1_2","TWIST1","VEGF","VHL","WNT","YWHAZ"
"BPH-1",0.124033707315176,0.633762053438996,0.51163802998122,0.911041743214528,0.455008781250976,0.269580520576253,0.693136336867119,0.306857179385875,0.677576192457924,0.398419110313203,0.680444952121515,0.23328957941835,0.523812137138498,0.684586844304907,0.16053404980994,0.602518473745944,0.432169743467251,0.612980197687521,0.335634301860366,0.527435759009818,0.00549264521686708,0.775706108438027,0.568582992604693,0.529520862822326,0.784058171468806,0.582407458082468,0.626878714365945,0.331151635486386,0.999999656537376,0.456194075775025,0.212940084873908,0.272970743234132,0.999934926637472,0.207128843577256,0.322332193989111,0.383160882409614,0.150443021544165,0.449777912015718,0.55361414324499,0.316454887651921,0.386076454553245,0.85783388148061,0.858607763695962,0.760478672460096,0.439668266361423,0.732437528399176,0.671918429688196,0.858958476126335,0.190835150798293,0.597164387548457,0.6137171052778,0.520304150251309,0.703795167993307,0.493427499949896,0.201771618146249,0.552461138130086,0.672049243946374,0.615421662339594,0.699301843123191,0.699301843123191,0.616816031485223,0.986020896332722,0.204578944551233,0.614259282898189,0.128533241810228,0.364847644972959,0.275932532001709,0.383079737016469,0.760026901095376,0.661364584324422,0.62905762492159,0.35679359350918,0.133135976478539,0.723091755426233,0.397876792688727,0.732287565054816,0.999996420617158,0.805209613869042,0.868758850679201,0.738318546256313,0.519570161970855,0.626629133060109,0.39143463145723,0.477251143093073,0.457411325335087,0.400873564427587,0.525227428483346,0.518602698648913,0.235229437481207,0.230346350841399,0.220077655170157,0.30653704994891,0.542197493396043,0.810932032117982,0.46591557878096,0.689942459807196,0.480265249787239,0.458932169727515,0.654542392287085,0.997462660501926,0.47998261935123,0.400164108973817,0.353583751694969,0.191518128760301,0.60051631680421,0.535771373869215,0.147308883916309,0.328424484853524,0.30315557632271,0.565611942716252,0.352669474565221,0.445361690129147,0.641758580129333,0.318371093619424,0.447424180194226,0.262125497479199
"DU-145",0.75925543219786,0.732215322273583,0.591869765967906,0.387991587637404,0.13709064952575,0.341698822450139,0.523506328509567,0.331469130932646,0.622632715697795,0.331291324696027,0.569122480105846,0.319168101534897,0.65025282193195,0.327744117863762,0.74804755534651,0.4964920310311,0.652319422180478,0.352645760003161,0.57157556275263,0.301250202352945,1.16468040173074e-07,0.933087518630171,0.839024448344424,0.794844207975857,0.288193453040333,0.500622331799011,0.345774445278057,0.313040842927379,0.999985670414339,0.461505342636794,0.243669935458182,0.581913939018286,0.999900905855943,0.245708356975393,0.435582291024002,0.542447411325984,0.567717249735349,0.430793677056112,0.656662766891805,0.802781195481132,0.381238298044073,0.357672114951164,0.451517574951202,0.722977917922996,0.291636660425914,0.666506586773894,0.45743568837724,0.263294175311143,0.613951955741426,0.697750238977518,0.544876538337613,0.417567459838298,0.598848456401006,0.439083993449288,0.584804932953905,0.615437183020316,0.600782807721748,0.455087197933315,0.536559853059737,0.536559853059737,0.51862654914035,0.456959808786669,0.200399386375218,0.590109155900981,0.166725513178245,0.387344582089576,0.331662173966006,0.223357313956696,0.457922030930056,0.395364956495148,0.301920971773561,0.157146882901704,0.239740120424544,0.50144356425684,0.385411860041118,0.734067586482047,0.99999981213709,0.0116467158200125,0.341071022916767,0.712300967646454,0.53532929589717,0.513575895895608,0.556650957710111,0.794687723411612,0.7010376573941,0.369089395909941,0.697119869550561,0.455768098548705,0.419869971967282,0.676564975464162,0.47567905269964,0.49523499506281,0.645067426852185,0.465490235632987,0.655921857174705,0.467543374419849,0.404229617498309,0.449226975297763,0.356608828124709,0.241319967384272,0.700231818411184,0.952910106680368,0.258041839864473,0.720531746549183,0.643590494278376,0.384925360556405,0.490570396738739,0.531256615186866,0.617224787924662,0.431218228213854,0.297984429513084,0.112383534898603,0.584082627918427,0.216148925674826,0.290614214666217,0.639765678218145
"LNCaP-Clone-FGC",0.417408874011468,0.687027073769113,0.509166556339449,0.258260393527076,0.989459387391044,0.247399829472808,0.499194040820748,0.507253166484071,0.734868475482343,0.371363704453379,0.56555675081382,0.262996125604837,0.677574595449334,0.430102221644797,0.693780897176642,0.681332368580862,0.666391642574273,0.547882871150716,0.106231902249662,0.259825313087823,7.70340614271349e-05,0.435729811400335,0.489931075569303,0.674730781700104,0.369349153833241,0.526591983248069,0.479388788941408,0.649312229889532,0.999999276483427,0.563139753448155,0.647826615662313,0.750801060408937,0.994782829035694,0.61258237818309,0.716674569360219,0.471037838869896,0.315527319143973,0.863895130062336,0.562223402740735,0.482471413222421,0.424231359981597,0.52143179134244,0.538193520205592,0.891539323763571,0.437960750226148,0.456467597846119,0.945036010017549,0.335014664279022,0.448865485240583,0.446729526710987,0.841337440359207,0.578437136321175,0.395361756594586,0.588368756224844,0.748138154364353,0.399066945475231,0.535720893190424,0.640742942649645,0.758000844097301,0.758000844097301,0.691883378273005,0.475562008753084,0.596516502625683,0.652323010794145,0.211538396782977,0.663366682236238,0.660694400738373,0.816464562853481,0.46593292453755,0.404594081755897,0.157135744460945,0.821065988686608,0.769448060814667,0.352767936032926,0.517499463660686,0.990450660931397,0.929925984001173,0.162473711068744,0.697596388881541,0.365638394634786,0.787431330384987,0.448491164364956,0.719809575459256,0.175402920917788,0.524708245239599,0.529342669104411,0.0620558630646313,0.500772594718541,0.773380285542916,0.239121041117776,0.650771516903376,0.38263124894403,0.489334684085153,0.381872377466991,0.1607338778283,0.43185124810189,0.420549513235387,0.643747534853714,0.765203095884001,0.0441684183084605,0.350841406197794,0.997238401034683,0.398743480805077,0.718631504426318,0.0564088603728501,0.208565740007731,0.64607230336984,0.146625958247839,0.38675560158321,0.393154007703188,0.677137809367308,0.633482738009426,0.449857889825194,0.376133652501841,0.336877232216153,0.249952045861103
"PC-3",0.63502964344582,0.425424346112567,0.46756553587866,0.55277991936226,0.492995773117003,0.299505909144889,0.190196928823548,0.257091049064714,0.765284844712447,0.291223618187866,0.870834499122767,0.284008035718079,0.45795807326175,0.321174374306209,0.823515343357439,0.241920034038727,0.169214366449099,0.0427693555575425,0.444301672440704,0.34661201959092,0.999877933447633,0.257683213557163,0.522476780683343,0.501697321115972,0.380868907360387,0.608174077073575,0.231070732513312,0.578828139091632,0.999927638308981,0.486151911901872,0.186036721898668,0.506500552251102,0.999717510144749,0.273839028741116,0.134582463445239,0.419528742938431,0.434970241107882,0.860490371898208,0.53947674816815,0.764836748525451,0.405437312037632,0.11367988610105,0.363230700637362,0.789482911899731,0.471178739325525,0.175137756390386,0.783257870900884,0.530759637233044,0.434681778856619,0.752106658231531,0.590771898863849,0.387653669766995,0.66274860929412,0.466571485587639,0.429672536060481,0.417005545750746,0.427715533662483,0.474662767436788,0.630200400819148,0.630200400819148,0.515575653104301,0.218580450233668,0.476566691525575,0.48339191513546,0.580693238380668,0.355525434776984,0.319592482142185,0.260977434076426,0.488757646274102,0.605568892775294,0.586104126720085,0.323388837051083,0.721852946948504,0.410750421573236,0.16185978557191,0.373813065153002,0.999834477947278,0.114773384580115,0.300443270116536,0.657799109308015,0.0579934965145114,0.653361944214646,0.717218803386986,0.436564308176369,0.358754542463441,0.437344241759312,0.552863047687729,0.487186328744708,0.201825251997606,0.00215845109441505,0.517899742359435,0.393212413330984,0.426106370215218,0.440195715227718,0.662104781389613,0.378364816875295,0.406939828886386,0.0975373491330725,0.642366148828011,0.953175719921242,0.45657941890405,0.741155788401437,0.27368761244777,0.348158113113067,0.309090854112826,0.602759878004048,0.541389987307212,0.628059342864193,0.610765251108755,0.472706259996409,0.445357620676345,0.66922839588865,0.516618961143769,0.122965182794048,0.37361812651523,0.6382473608534
